Country,City,AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Canada,Orillia,35,23,0,35
India,Panchgani,116,23,4,116
Mexico,Papantla,96,16,4,96
Indonesia,Pasarkemis,249,10,49,249
Romania,Pascani,58,46,0,58
Philippines,Pasil,42,16,4,42
Russian Federation,Pervomayskiy,40,40,0,22
Russian Federation,Pervouralsk,40,40,0,12
Albania,Peshkopi,115,39,0,115
,Puerto Cortes,58,18,0,58
Chile,Puerto Montt,25,20,2,25
Brazil,Quarai,17,17,0,5
India,Rath,227,48,0,227
Pakistan,Rawalpindi,129,129,1,92
France,Rive De Gier,39,21,4,39
United States of America,River Grove,61,28,16,61
Russian Federation,Rostov Na Donu,38,38,2,15
Spain,Rute,28,21,3,28
Russian Federation,Rybinsk,34,29,1,34
Portugal,Sacavem,33,33,3,33
India,Safipur,183,136,1,183
United Kingdom of Great Britain and Northern Ireland,Saint Austell,32,32,1,30
Germany,Salzhemmendorf,39,33,1,39
Germany,Schoneiche,39,32,1,39
Italy,Sciacca,48,48,1,24
India,Shahganj,181,155,1,181
Cameroon,Mutengene,107,9,2,107
Japan,Namioka,38,38,0,18
Nicaragua,Nandaime,53,16,2,53
Germany,Nauen,31,29,1,31
,Necocli,19,19,0,18
South Africa,Nelspruit,237,3,7,237
United States of America,New Berlin,69,14,18,69
Thailand,Non Sang,50,25,0,50
United States of America,North Babylon,56,25,14,56
United States of America,North Branford,53,28,9,53
Ukraine,Nosivka,52,32,0,52
Russian Federation,Novosibirsk,42,42,1,36
Mexico,Nuevo Mexico,74,3,9,74
Germany,Numbrecht,35,24,3,35
United Republic of Tanzania,Nyanguge,21,14,0,21
India,Lakhisarai,187,112,1,187
Spain,Laviana,31,31,2,29
Germany,Lich,30,29,1,30
Denmark,Lillerod,33,33,1,32
Ukraine,Lokhvytsya,39,33,0,39
Bulgaria,Lom,71,20,5,71
China,Longyan,69,45,3,69
Cameroon,Loum,124,13,1,124
Democratic Republic of the Congo,Lusambo,200,16,7,200
India,Madanpur,217,99,4,217
India,Madhyamgram,205,96,4,205
Colombia,Madrid,96,7,11,96
Madagascar,Mananjary,24,24,0,11
India,Mandsaur,166,39,0,166
Madagascar,Manjakandriana,22,22,0,18
Brazil,Marau,20,20,0,13
United States of America,Sweetwater,70,8,17,70
Hungary,Szekszard,75,30,2,75
Hungary,Szolnok,65,34,1,65
Côte d'Ivoire,Tabou,40,23,0,40
Russian Federation,Taksimo,38,38,0,28
India,Talbahat,164,42,0,164
Japan,Tanuma,50,50,0,18
India,Tarakeswar,199,96,3,199
Australia,Taree,32,22,0,32
Pakistan,Taunsa,190,187,3,190
,Terracina,47,47,1,33
South Africa,Thabazimbi,84,10,4,84
Nepal,Tikapur,154,148,0,154
Algeria,Timizart,91,28,18,91
Sweden,Timra,30,30,0,7
India,Tirukkattuppalli,64,31,0,64
India,Tiruvottiyur,107,25,3,107
Spain,Tomino,38,29,1,38
South Sudan,Maridi,48,6,0,48
Italy,Massa,43,43,1,16
United States of America,Mastic,41,31,8,41
Germany,Memmingen,51,26,3,51
Hungary,Mezobereny,74,24,2,74
United States of America,Miami Shores,56,13,12,56
United Republic of Tanzania,Misasi,35,13,0,35
United Republic of Tanzania,Mlalo,34,21,0,34
Colombia,Mocoa,19,6,1,19
Italy,Mondragone,48,48,1,41
Germany,Morbach,29,29,1,25
India,Khatauli,500,140,3,442
India,Kheri,255,205,3,255
India,Kiraoli,264,38,1,264
Iraq,Kirkuk,137,69,1,137
Japan,Komagane,47,47,0,10
Russian Federation,Kosaya Gora,39,36,1,39
Russian Federation,Kotlas,28,28,0,18
Malaysia,Kuah,104,58,0,104
Austria,Kufstein,31,31,1,15
India,Kutiyana,149,30,0,149
United States of America,Lafayette,81,20,8,81
Italy,San Miniato,39,39,2,35
,Santa Margherita Ligure,51,37,2,51
Brazil,Santa Maria Da Boa Vista,20,12,0,20
Guatemala,Santiago Atitlan,106,4,14,106
Brazil,Sao Jose Da Laje,48,12,3,48
China,Shaoxing,109,109,3,93
,Shcholkine,46,46,0,30
Spain,Sabadell,50,32,5,50
France,Saint Leu La Foret,50,20,5,50
France,Saint Pierre,51,28,0,51
Uzbekistan,Salar,150,81,3,150
Turkey,Sungurlu,42,42,0,32
Brazil,Tabatinga,21,2,0,21
China,Taixing,140,138,7,140
Japan,Takayama,45,45,0,24
India,Shirdi,143,32,0,143
India,Shorapur,94,26,0,94
India,Shrirangapattana,53,24,0,53
India,Siddipet,129,35,0,129
Canada,Simcoe,35,35,4,33
China,Sishui,126,126,2,100
Ukraine,Snyatyn,68,40,1,68
,Sorong,15,15,0,12
Russian Federation,Staroshcherbinovskaya,41,41,2,18
Austria,Steyr,30,28,1,30
Brazil,Sumare,84,5,9,84
Japan,Hamakita,45,45,0,15
India,Hassan,30,21,0,30
Sweden,Hassleholm,38,38,0,29
United States of America,Hastings,54,30,2,54
China,Hebi,184,184,13,163
India,Dehri,323,54,0,268
Burkina Faso,Diebougou,59,16,0,59
Bangladesh,Dinajpur,222,107,1,222
Thailand,Doembang Nangbuat,44,20,0,44
France,Douchy Les Mines,37,24,2,37
United States of America,Drexel Heights,55,11,11,55
Lithuania,Druskininkai,52,36,0,52
Kazakhstan,Dzhusaly,72,39,0,72
Venezuela (Bolivarian Republic of),Ejido,39,10,2,39
Mexico,Escarcega,101,15,2,101
Brazil,Estancia Velha,55,13,4,55
Italy,Falconara Marittima,45,45,0,32
United States of America,Fernley,34,34,3,26
United States of America,Florida Ridge,48,16,8,48
South Africa,Fort Beaufort,46,26,0,46
United States of America,Pine Hills,51,17,11,51
Colombia,Planeta Rica,55,13,3,55
Russian Federation,Polyarnyy,29,29,0,8
Poland,Pruszkow,35,35,1,31
Bolivia (Plurinational State of),Puerto Suarez,23,16,0,23
Spain,Fuengirola,36,26,5,36
United States of America,Gainesville,68,22,4,68
Bangladesh,Gazipur,69,43,3,69
Germany,Gerstetten,61,31,2,61
China,Yuxia,141,141,5,136
Japan,Yuzawa,35,35,0,15
France,Yzeure,39,28,1,39
China,Zalantun,34,34,0,22
Russian Federation,Zernograd,37,37,0,29
Ethiopia,Ziway,77,21,0,77
United States of America,Wellesley,54,46,3,54
,Weymouth,36,29,1,36
Poland,Wieliczka,52,28,1,52
United States of America,Winfield,62,28,2,62
United Kingdom of Great Britain and Northern Ireland,Witham,28,28,3,24
United States of America,Woodburn,37,15,10,37
