Country,City,AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Russian Federation,Praskoveya,51,36,0,51
Brazil,Presidente Dutra,41,5,1,41
Italy,Priolo Gargallo,66,39,2,66
Poland,Przasnysz,34,34,0,20
France,Punaauia,22,22,0,6
United States of America,Punta Gorda,54,14,11,54
Germany,Puttlingen,62,35,3,62
Belgium,Puurs,64,29,7,64
Russian Federation,Pyatigorsk,54,41,1,54
Egypt,Qalyub,142,89,9,142
China,Qinzhou,68,68,1,58
Netherlands,Raalte,41,24,6,41
India,Radaur,158,139,1,158
Pakistan,Radhan,158,50,1,158
Republic of North Macedonia,Radovis,83,46,0,83
France,Raismes,59,30,4,59
India,Rajgir,154,100,2,154
Italy,Ramacca,55,47,0,55
United States of America,Phoenix,72,4,23,72
India,Phulabani,161,71,0,161
Poland,Piaseczno,28,28,2,28
India,Pimpri,118,30,2,118
Brazil,Pindobacu,33,10,1,33
China,Pingyin,150,95,6,150
Brazil,Pinheiral,154,0,13,154
India,Piravam,81,24,1,81
Colombia,Plato,67,16,2,67
Romania,Poiana Mare,62,37,1,62
Russian Federation,Polevskoy,31,31,0,17
France,Pontarlier,56,35,0,56
United States of America,Pontiac,77,22,15,77
Indonesia,Pontianak,44,15,0,44
Brazil,Porecatu,30,9,2,30
Finland,Pori,30,30,1,15
South Africa,Port Elizabeth,79,18,5,79
United States of America,Port Neches,34,19,7,34
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,20,5,51
United States of America,Portales,77,34,0,77
United States of America,Post Falls,61,32,3,61
Brazil,Pouso Alegre,32,7,2,32
China,Dalinghe,64,64,4,64
Russian Federation,Dalnegorsk,29,29,0,25
United Republic of Tanzania,Dar Es Salaam,51,23,0,51
India,Darbhanga,247,162,1,247
United States of America,Dayton,45,32,7,45
Belgium,Deinze,36,25,3,36
Egypt,Dekernes,81,81,4,56
Haiti,Delmas,124,15,5,124
United States of America,Deming,72,26,2,72
United Kingdom of Great Britain and Northern Ireland,Denton,55,32,1,55
United States of America,Destin,31,31,0,25
Pakistan,Dhadar,157,89,0,157
India,Dharmapuri,60,31,1,60
Pakistan,Digri,153,40,0,153
Somalia,Dinsor,22,19,0,22
Philippines,Dipolog,30,17,0,30
Latvia,Dobele,44,34,0,44
United States of America,Grandville,47,37,4,47
Netherlands,Grave,37,32,2,37
United States of America,Green Valley,44,14,8,44
United States of America,Greendale,58,14,24,58
Poland,Grudziadz,37,33,0,37
Colombia,Guamo,89,3,6,89
Italy,Guardiagrele,52,38,7,52
Chad,Guelengdeng,59,16,0,59
United Kingdom of Great Britain and Northern Ireland,Guildford,51,25,6,51
Philippines,Guiset,66,26,1,66
Russian Federation,Gukovo,38,38,0,13
United States of America,Havre De Grace,34,30,7,34
United States of America,Hazelwood,88,11,20,88
Germany,Heddesheim,54,31,3,54
Germany,Heiligenhaus,44,28,3,44
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,26,6,51
United States of America,Hicksville,67,15,23,67
Brazil,Hidrolandia,42,5,2,42
India,Gyanpur,189,99,1,189
Germany,Haiger,49,25,3,49
China,Hangzhou,203,203,5,151
Germany,Harrislee,35,32,0,35
United States of America,Harrison,90,25,2,90
India,Harur,67,26,1,67
Germany,Hasbergen,36,34,1,36
France,Haubourdin,48,28,4,48
United States of America,Taunton,41,28,10,41
New Zealand,Tauranga,19,19,1,17
Tunisia,Tawzar,73,43,0,73
Viet Nam,Tay Ninh,45,18,1,45
Iran (Islamic Republic of),Taybad,170,43,0,170
Italy,Teano,47,47,1,36
India,Tekkali,155,82,1,155
Brazil,Teodoro Sampaio,46,9,1,46
Mexico,Tepeaca,172,2,11,172
Mexico,Tequila,64,15,2,64
Italy,Teramo,44,44,1,38
Viet Nam,Thai Nguyen,150,150,1,105
China,Tianjin,142,113,9,142
Indonesia,Tidore,21,13,0,21
Romania,Timisoara,47,42,0,47
Tunisia,Tinjah,48,48,1,29
Philippines,Toboso,54,20,0,54
Japan,Tokorozawa,60,44,3,60
Mexico,Toluca,166,8,19,166
Brazil,Itapissuma,27,23,1,27
Brazil,Itarantim,23,7,1,23
Brazil,Itumbiara,31,13,0,31
Mexico,Ixtaczoquitlan,88,13,9,88
El Salvador,Izalco,90,22,9,90
United Republic of Tanzania,Izazi,28,15,0,28
Russian Federation,Izberbash,51,38,0,51
India,Jabalpur,170,38,0,170
Brazil,Jaguaquara,22,9,1,22
India,Jahanabad,168,168,1,156
Bulgaria,Jambol,40,40,0,32
Poland,Jarocin,47,27,2,47
Philippines,Jasaan,59,32,0,59
Nigeria,Ilobu,133,23,3,133
Finland,Imatra,29,29,1,7
Brazil,Indaial,73,2,8,73
Philippines,Indang,50,24,0,50
Brazil,Itagi,25,9,1,25
Nigeria,Iseyin,90,18,2,90
Mexico,Isla,81,26,3,81
Brazil,Itaitinga,29,20,1,29
Brazil,Itambe,21,8,1,21
Brazil,Itapemirim,44,16,1,44
South Sudan,Torit,65,12,0,65
Guatemala,Totonicapan,66,7,6,66
United States of America,Trenton,53,28,10,53
United States of America,Trujillo Alto,56,23,0,56
Ireland,Tullamore,57,26,3,57
Turkey,Tunceli,62,35,0,62
Viet Nam,Tuyen Quang,167,167,1,107
United States of America,Two Rivers,49,27,4,49
United States of America,Tysons Corner,55,25,11,55
Russian Federation,Tyukalinsk,34,34,0,32
India,Udupi,80,25,0,80
India,Umaria,163,92,0,163
United States of America,Willowbrook,126,3,36,126
United States of America,Wilmette,63,9,22,63
United States of America,Wolf Trap,53,27,10,53
United States of America,Woodhaven,86,38,10,86
China,Wulanhaote,47,47,0,25
China,Xiangdong,78,25,7,78
China,Xiaoweizhai,61,61,0,54
China,Xushan,112,44,4,112
Peru,Yanacancha,27,6,1,27
China,Yancheng,155,155,2,151
Democratic Republic of the Congo,Yangambi,121,24,0,121
China,Yanggu,160,138,5,160
China,Yangliuqing,144,109,9,144
China,Yanji,69,48,0,69
United States of America,Yankton,47,34,3,47
Germany,Wenden,69,34,4,69
United States of America,West Carrollton City,84,9,24,84
Belgium,Wetteren,64,32,6,64
Canada,Whitehorse,20,20,1,10
Ireland,Wicklow,38,30,3,38
Switzerland,Wil,59,27,3,59
Germany,Wildeshausen,67,30,5,67
United States of America,Williamsport,75,13,16,75
United States of America,Fox Lake,60,18,21,60
Brazil,Foz Do Iguacu,22,13,0,22
Denmark,Frederikssund,36,36,0,25
United States of America,Friendly,41,30,8,41
Germany,Fuldatal,44,28,2,44
Japan,Furano,29,26,1,29
China,Fuzhou,168,168,5,99
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,25,3,23
Germany,Gangelt,41,26,4,41
Germany,Garbsen,36,33,1,36
Cameroon,Garoua,59,12,0,59
Somalia,Garowe,98,17,0,98
Netherlands,Geertruidenberg,35,33,2,35
Australia,Geraldton,29,29,0,13
Germany,Germersheim,51,29,3,51
Colombia,Girardot,103,9,6,103
Russian Federation,Glubokiy,35,35,0,17
United Kingdom of Great Britain and Northern Ireland,Golborne,35,30,4,35
Portugal,Gondomar,27,27,2,21
Russian Federation,Goryachevodskiy,48,39,1,48
India,Govindgarh,307,45,0,307
Côte d'Ivoire,Grand Lahou,54,25,0,54
United States of America,Hoffman Estates,61,26,16,61
Sweden,Hoganas,36,36,1,30
United States of America,Holly Springs,42,42,2,37
Germany,Holzminden,42,32,1,42
China,Huaicheng,151,45,4,151
Ethiopia,Huruta,102,23,0,102
Nigeria,Idanre,115,24,2,115
Italy,Iglesias,64,53,1,64
Germany,Ihlow,40,30,2,40
Japan,Iizuka,45,45,0,38
Thailand,Sungai Kolok,65,34,0,65
Indonesia,Sungaipenuh,17,13,0,17
Russian Federation,Suvorovskaya,52,39,1,52
Japan,Suzu,69,69,1,60
Poland,Swiecie,44,33,1,44
Hungary,Szeged,50,41,1,50
Hungary,Szerencs,72,42,1,72
Tunisia,Taburbah,49,49,1,32
India,Tadepallegudem,127,65,1,127
Iran (Islamic Republic of),Tafresh,125,125,1,82
Philippines,Tagaytay,41,25,1,41
Japan,Tajimi,52,34,3,52
Japan,Takahagi,47,47,1,44
Japan,Takahashi,36,36,3,34
India,Tal,155,39,0,155
Philippines,Talacogon,37,19,0,37
Russian Federation,Taldom,46,27,1,46
Kazakhstan,Talgar,69,42,0,69
United States of America,Tamiami,64,18,12,64
Israel,Tamra,92,52,8,92
Japan,Tanashi,58,43,3,58
Romania,Tandarei,41,41,0,38
Philippines,Tantangan,35,20,0,35
Indonesia,Tarogong,88,53,1,88
Turkey,Tatvan,45,45,0,43
India,Yaval,102,38,0,102
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,24,7,58
China,Yuanping,143,35,5,143
China,Yuncheng,187,36,8,187
Poland,Zambrow,35,35,0,17
Poland,Zamosc,48,35,1,48
Belgium,Zaventem,58,29,6,58
Belgium,Zemst,65,27,8,65
China,Zhaozhou,73,66,0,73
China,Zhicheng,160,36,13,160
China,Zhongshan,98,33,9,98
China,Zhuji,156,45,10,156
Mexico,Zimatlan,75,9,6,75
Mexico,Zinacantepec,163,8,18,163
Russian Federation,Zmeinogorsk,35,35,0,21
Netherlands,Aalburg,30,30,2,29
Spain,Abaran,47,21,2,47
Italy,Abbiategrasso,69,37,4,69
Côte d'Ivoire,Abidjan,105,15,4,105
Mexico,Acuautla,189,9,15,189
United States of America,Acworth,64,37,8,64
United States of America,Adelphi,54,32,5,54
India,Afzalgarh,198,198,3,188
Nigeria,Agbor,139,13,5,139
France,Aix En Provence,55,26,3,55
Myanmar,Akyab,145,46,0,145
United States of America,Alabaster,80,18,10,80
Russian Federation,Alagir,50,36,1,50
Belgium,Alken,35,25,3,35
Canada,Alma,55,27,0,55
Brazil,Almirante Tamandare,13,12,1,13
Spain,Almoradi,48,23,3,48
Papua New Guinea,Alotau,28,28,0,13
Germany,Altotting,50,29,3,50
Madagascar,Ambovombe,26,26,0,20
China,Anqiu,107,107,5,86
Madagascar,Antalaha,22,22,0,20
United States of America,Antioch,76,7,25,76
Lithuania,Anyksciai,47,32,0,47
Ghana,Apam,104,14,1,104
Mexico,Apaseo El Grande,60,16,5,60
Brazil,Aragarcas,32,3,2,32
Russian Federation,Arkadak,28,28,1,15
France,Armentieres,34,28,2,34
Russian Federation,Arsk,28,28,1,19
Azerbaijan,Artyom,48,35,0,48
Armenia,Ashtarak,39,29,1,39
Ethiopia,Asosa,97,14,0,97
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,37,0,75
India,Atarra,194,44,0,194
Guatemala,Atescatempa,104,5,10,104
Italy,Atri,57,40,3,57
Ukraine,Avdiyivka,41,41,3,27
Portugal,Avintes,37,16,7,37
Malaysia,Ayer Keroh,59,34,0,59
United Kingdom of Great Britain and Northern Ireland,Ayr,29,29,2,20
Netherlands,Baarn,34,34,1,26
Serbia,Backa Palanka,70,41,0,70
Germany,Bad Langensalza,32,30,1,32
Pakistan,Bahawalnagar,500,38,1,466
South Africa,Balfour,380,1,26,380
South Africa,Ballitoville,222,5,14,222
Thailand,Ban Phai,52,28,0,52
Malaysia,Bandar Penggaram,76,39,0,76
Philippines,Bangued,27,23,0,27
Slovakia,Banovce,59,26,2,59
Germany,Bargteheide,38,28,2,38
United States of America,Bartlesville,56,23,6,56
Gambia,Basse,127,18,0,127
Pakistan,Bat Khela,117,117,1,78
Malaysia,Batu Gajah,92,57,1,92
India,Bazpur,182,170,5,182
Italy,Castel Goffredo,124,32,7,124
Italy,Catanzaro,68,68,6,57
Philippines,Catbalogan,68,26,0,68
Ecuador,Cayambe,39,4,2,39
Bosnia and Herzegovina,Cazin,50,33,0,50
Italy,Cernusco Sul Naviglio,103,33,6,103
Italy,Cesenatico,38,36,5,38
Czechia,Ceske Budejovice,61,38,1,61
Argentina,Chacabuco,17,17,1,17
Peru,Chachapoyas,21,4,0,21
France,Chalon Sur Saone,32,32,1,20
China,Chaoyang,151,119,1,151
Viet Nam,Chau Doc,57,32,0,57
Russian Federation,Cherepanovo,38,38,0,35
Russian Federation,Cherkessk,49,40,0,49
India,Chhabra,171,42,0,171
India,Chilakalurupet,91,28,1,91
Mexico,Chilpancingo,72,4,5,72
India,Chipurupalle,153,22,6,153
Poland,Chojnow,59,25,2,59
India,Chotila,157,31,1,157
United States of America,Cimarron Hills,73,32,2,73
Brazil,Claudio,71,3,6,71
Brazil,Clevelandia,17,17,0,11
Brazil,Coari,46,2,0,46
United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,12,9,35
Ireland,Cobh,24,24,1,16
Brazil,Colatina,45,14,2,45
Romania,Comanesti,61,40,0,61
Dominican Republic,Comendador,65,12,6,65
Italy,Como,112,34,4,112
Brazil,Conde,19,19,0,11
United Kingdom of Great Britain and Northern Ireland,Consett,31,31,2,22
United States of America,Cooper City,152,4,19,152
United States of America,Copperas Cove,31,21,1,31
Brazil,Cornelio Procopio,37,12,1,37
Argentina,Corrientes,13,12,0,13
Mexico,Cotija,41,8,3,41
Italy,Crevalcore,103,28,9,103
Azerbaijan,Culfa,52,35,0,52
Spain,Culleredo,30,30,2,13
India,Cuncolim,73,25,0,73
Brazil,Curvelo,42,2,4,42
Germany,Cuxhaven,35,35,0,30
United States of America,Cypress Lake,46,25,5,46
Poland,Czestochowa,93,27,4,93
Guinea,Dalaba,63,13,0,63
Pakistan,Dalbandin,160,39,0,160
France,Beaune,39,26,1,39
United States of America,Bedford,56,18,6,56
Ghana,Begoro,105,13,2,105
China,Beipiao,93,90,1,93
Brazil,Bela Cruz,45,22,0,45
Bolivia (Plurinational State of),Bermejo,54,8,1,54
Germany,Bernburg,36,29,2,36
United States of America,Berwick,50,35,5,50
India,Betma,153,34,0,153
United States of America,Beverly,48,36,5,48
Russian Federation,Bezhetsk,24,24,0,24
Bangladesh,Bhairab Bazar,132,44,4,132
Pakistan,Bhalwal,179,179,2,166
India,Bhimavaram,124,36,1,124
India,Bhinmal,202,34,0,202
India,Bhiwandi,151,26,1,151
Indonesia,Binjai,92,45,0,92
Brazil,Baiao,39,5,0,39
Russian Federation,Baksan,48,39,1,48
Sudan,Bara,52,17,0,52
Colombia,Baranoa,104,16,2,104
Philippines,Baras,51,27,1,51
Iran (Islamic Republic of),Bardsir,91,49,0,91
India,Bari Sadri,167,32,0,167
Thailand,Nong Bua,38,20,0,38
Thailand,Nong Han,57,25,0,57
Netherlands,Noordwijkerhout,41,27,5,41
United States of America,North Andrews Gardens,78,11,12,78
United States of America,Northbridge,47,46,2,47
United Kingdom of Great Britain and Northern Ireland,Norwich,29,29,3,18
Serbia,Novi Becej,60,34,1,60
Netherlands,Nuenen,37,32,3,37
Chile,Nueva Imperial,61,2,9,61
Panama,Nuevo Arraijan,67,20,5,67
Mexico,Nuevo Casas Grandes,46,17,2,46
United States of America,Oak Lawn,79,13,27,79
United States of America,Oakdale,53,24,9,53
Ghana,Obuasi,81,18,0,81
Japan,Odawara,39,38,2,39
Germany,Oer Erkenschwick,34,34,2,27
Republic of North Macedonia,Ohrid,42,41,0,42
Japan,Okawa,41,36,5,41
Poland,Olecko,47,36,0,47
Germany,Olfen,32,27,4,32
Brazil,Olindina,25,6,1,25
Japan,Omagari,35,35,0,15
Netherlands,Oostburg,36,26,3,36
United States of America,Orem,73,26,7,73
United States of America,Orinda,52,22,11,52
Poland,Ostrzeszow,35,32,1,35
Guatemala,Ostuncalco,94,9,11,94
Congo,Ouesso,71,18,0,71
Brazil,Ouro Preto,61,3,5,61
Nigeria,Oyo,80,22,1,80
Kyrgyzstan,Ozgon,101,60,0,101
Italy,Pachino,48,45,0,48
India,Padra,156,33,0,156
Mauritius,Pailles,30,28,0,30
France,Paita,27,27,0,10
India,Palakkodu,57,30,0,57
Philippines,Palo,55,20,0,55
Indonesia,Pamekasan,54,35,0,54
China,Panchiao,69,45,4,69
China,Panshi,76,32,2,76
China,Panzhihua,74,29,2,74
Brazil,Paragominas,36,2,0,36
Brazil,Paraguacu,51,7,4,51
Peru,Paramonga,41,18,1,41
United States of America,Parkville,56,44,4,56
United States of America,Pasadena,58,43,5,58
United States of America,Pataskala,45,32,7,45
Kazakhstan,Pavlodar,50,41,0,50
India,Payyannur,68,24,0,68
United States of America,Pelham,46,46,2,31
Greece,Perama,67,44,2,67
Mexico,Perote,77,7,8,77
Serbia,Petrovaradin,63,33,1,63
Thailand,Phanom Thuan,42,19,0,42
Thailand,Phatthalung,59,27,0,59
Thailand,Phetchaburi,35,17,0,35
India,Phillaur,444,111,1,391
Egypt,Rosetta,60,60,3,55
Italy,Rossano,48,48,0,12
Russian Federation,Rostov,32,32,0,26
United Kingdom of Great Britain and Northern Ireland,Royton,56,32,1,56
Germany,Rudolstadt,32,32,1,30
Czechia,Rumburk,29,29,2,29
Malawi,Rumphi,28,19,0,28
Switzerland,Ruti,34,25,2,34
Brazil,Ruy Barbosa,18,8,0,18
Serbia,Sabac,68,32,1,68
Cuba,Sagua La Grande,89,22,1,89
India,Sahibganj,208,152,1,208
United States of America,Saint Matthews,58,29,12,58
United States of America,Saint Pete Beach,53,40,6,53
Canada,Saint Thomas,35,35,3,34
France,Saint Cyr Sur Loire,37,25,2,37
Belgium,Saint Nicolas,35,32,3,35
France,Saint Quentin,39,25,2,39
Saudi Arabia,Sakakah,122,49,0,122
Japan,Sakurai,40,40,2,34
United Kingdom of Great Britain and Northern Ireland,Salford,58,32,1,58
India,Salon,303,48,0,260
Brazil,Salvador,30,16,1,30
India,Sambhar,193,38,0,193
Turkey,Samsun,36,36,0,30
Indonesia,Prabumulih,49,30,0,49
Brazil,Presidente Prudente,32,14,1,32
United States of America,Prichard,28,22,4,28
Canada,Prince George,21,21,1,13
Indonesia,Pringsewu,63,40,0,63
Peru,Pucallpa,30,1,0,30
Spain,Puertollano,32,30,1,32
Mexico,Purepero,48,5,4,48
Israel,Qiryat Gat,80,62,4,80
Chile,Quillota,182,1,23,182
India,Rafiganj,356,60,0,284
United States of America,Rahway,62,44,5,62
Bangladesh,Rajshahi,191,133,2,191
India,Rajur,150,41,0,150
Thailand,Phrai Bung,53,27,0,53
India,Phulpur,226,48,1,226
Brazil,Picos,16,12,0,16
Finland,Pietarsaari,34,34,1,17
Germany,Pirmasens,30,27,2,30
United States of America,Plum,55,26,12,55
Benin,Pobe,73,20,1,73
Italy,Policoro,46,46,0,14
Sierra Leone,Port Loko,48,16,0,48
Haiti,Port De Paix,103,25,1,103
Portugal,Porto Salvo,46,30,2,46
United States of America,Poughkeepsie,43,43,2,39
United States of America,Randallstown,52,44,4,52
India,Rania,500,40,0,464
Thailand,Ranong,36,16,0,36
Germany,Rathenow,39,39,0,23
Russian Federation,Reutov,58,25,9,58
Brazil,Ribeira Do Pombal,24,7,1,24
Brazil,Ribeirao Bonito,52,4,3,52
United States of America,Richardson,56,21,6,56
United States of America,Richmond,76,15,17,76
Brazil,Rio Bonito,95,23,8,95
Peru,Rioja,25,3,0,25
France,Riom,40,30,1,40
Lebanon,Riyaq,78,46,1,78
Italy,Rocca Priora,47,47,2,27
France,Rodez,42,31,1,42
Brazil,Rolandia,39,14,2,39
France,Romans Sur Isere,37,30,1,37
Philippines,Romblon,50,23,0,50
India,Dalmau,190,98,1,190
United States of America,Daly City,62,18,13,62
India,Damnagar,152,29,0,152
Thailand,Dan Khun Thot,56,31,0,56
China,Dancheng,145,145,3,82
India,Dankaur,292,136,3,292
United Republic of Tanzania,Dareda,20,14,0,20
India,Dattapur,153,29,0,153
Brazil,Delmiro Gouveia,25,9,1,25
Uruguay,Delta Del Tigre,38,19,2,38
India,Delvada,158,25,0,158
Russian Federation,Desnogorsk,34,34,0,10
Turkey,Develi,46,29,0,46
India,Dewa,173,159,1,173
Turkey,Dinar,44,33,0,44
Ukraine,Dniprorudne,39,39,0,12
Benin,Dogbo,101,18,2,101
Russian Federation,Donskoye,37,37,0,30
United States of America,Dumas,60,22,3,60
United Republic of Tanzania,Dunda,23,17,0,23
United States of America,Dyersburg,93,24,5,93
United States of America,Eatontown,28,28,8,25
Mexico,Ebano,91,22,3,91
United States of America,El Campo,39,22,1,39
Mexico,El Pueblito,66,10,5,66
Bolivia (Plurinational State of),El Torno,6,5,0,6
United States of America,Ellicott City,44,27,10,44
Pakistan,Eminabad,153,153,1,152
Japan,Ena,42,42,0,12
Italy,Giussano,62,32,4,62
United Kingdom of Great Britain and Northern Ireland,Glenrothes,35,22,6,35
United Kingdom of Great Britain and Northern Ireland,Glossop,27,25,3,27
Namibia,Gobabis,19,18,0,19
India,Gobindapur,198,91,3,198
India,Gobindpur,175,51,1,175
Spain,Godella,33,33,1,28
India,Gohad,194,46,0,194
India,Gohana,500,47,1,500
Brazil,Goiatuba,37,3,3,37
Netherlands,Goirle,30,30,2,27
United States of America,Golden Glades,61,10,16,61
Poland,Goleniow,32,24,3,32
Iran (Islamic Republic of),Gonbad E Qabus,84,45,0,84
Russian Federation,Gorodishche,33,33,1,21
Japan,Gotsu,44,44,0,15
Albania,Gramsh,68,39,1,68
United States of America,Granger,57,21,11,57
United States of America,Grants Pass,29,29,2,27
,Granville,30,30,3,25
Mexico,Guasave,35,22,1,35
Germany,Guben,37,21,4,37
Cameroon,Guider,76,8,1,76
China,Guilin,90,46,3,90
France,Guipavas,34,26,9,34
United States of America,Fort Walton Beach,65,30,1,65
France,Fosses,29,28,2,29
United States of America,Fountain Hills,37,27,8,37
United States of America,Fountain,72,29,3,72
Brazil,Francisco Morato,169,0,21,169
Germany,Freiberg,36,25,3,36
United States of America,Front Royal,46,37,2,46
Japan,Fuchu,71,71,3,49
Germany,Gaggenau,29,29,2,26
Israel,Gan Yavne,77,43,6,77
India,Gauribidanur,48,24,0,48
Spain,Gava,57,19,10,57
Italy,Gela,53,38,2,53
Netherlands,Gennep,30,25,3,30
Germany,Genthin,31,30,1,31
Guyana,Georgetown,27,19,0,27
Germany,Gera,30,28,2,30
India,Gevrai,120,30,0,120
United States of America,Lake Jackson,25,24,2,25
United States of America,Lakeside,57,22,14,57
Thailand,Lam Luk Ka,66,28,1,66
Philippines,Lamacan,70,21,0,70
Iran (Islamic Republic of),Lar,105,49,0,105
Brazil,Laranjeiras Do Sul,12,12,0,11
China,Lasa,25,25,0,12
India,Lasalgaon,129,30,0,129
Germany,Lauda Konigshofen,32,27,3,32
France,Le Port,42,28,0,42
Brazil,Lencois Paulista,34,13,1,34
Colombia,Lerida,60,8,4,60
Netherlands,Leusden,33,33,1,26
United Kingdom of Great Britain and Northern Ireland,Lewes,37,12,13,37
Philippines,Lianga,50,20,0,50
France,Libourne,46,26,2,46
Germany,Limbach Oberfrohna,31,28,1,31
Malaysia,Limbang,95,95,0,46
China,Lishan,192,192,6,124
Czechia,Litovel,49,24,2,49
Belgium,Lokeren,31,31,2,31
Belgium,Londerzeel,34,29,3,34
Netherlands,Loon Op Zand,32,27,3,32
Congo,Loubomo,100,16,0,100
Senegal,Louga,176,21,3,176
Poland,Lubin,35,20,3,35
Poland,Lublin,32,32,1,28
Indonesia,Lubuk Pakam,98,47,0,98
Philippines,Lucena,32,29,0,32
India,Lunavada,164,35,0,164
Ukraine,Lvov,61,29,1,61
Brazil,Macapa,16,12,0,16
Pakistan,Madeji,167,49,1,167
Lesotho,Mafeteng,117,14,7,117
United States of America,Magnolia,56,25,2,56
United Republic of Tanzania,Magomeni,50,23,0,50
India,Mahbubabad,119,35,0,119
India,Mahoba,180,45,0,180
India,Maihar,171,36,0,171
India,Mainpuri,434,53,1,362
United States of America,Maitland,53,18,14,53
Ukraine,Makiyivka,50,24,11,50
France,Malakoff,40,26,3,40
Philippines,Malandag,55,19,0,55
Benin,Malanville,34,18,1,34
Iran (Islamic Republic of),Malard,172,172,5,145
Italy,Malnate,69,22,6,69
Mongolia,Mandalgovi,38,38,0,34
India,Mangawan,184,39,1,184
Democratic Republic of the Congo,Manono,74,23,1,74
Venezuela (Bolivarian Republic of),Maracaibo,118,17,4,118
Italy,Marano Di Napoli,52,52,1,36
India,Gunnaur,500,73,1,500
Germany,Hagen,30,30,1,25
China,Haian,207,207,3,150
France,Halluin,35,28,2,35
Germany,Hamburg,34,28,2,34
United States of America,Hanahan,73,35,8,73
Japan,Hanamaki,38,38,0,20
India,Hangal,70,22,0,70
Bulgaria,Harmanli,40,40,1,24
Pakistan,Harunabad,500,43,0,443
Germany,Hattingen,28,27,2,28
United States of America,Hauppauge,52,27,12,52
United States of America,Hayward,70,20,20,70
Finland,Heinola,33,33,0,5
Japan,Hekinan,59,59,1,23
Germany,Hemsbach,30,30,1,24
China,Hengyang,169,169,3,150
Japan,Hirata,45,45,0,16
Japan,Hobara,44,44,0,22
United States of America,Hoboken,61,27,11,61
Somalia,Hobyo,58,21,0,58
Japan,Hofu,44,44,0,32
Solomon Islands,Honiara,18,18,0,6
India,Honnali,65,22,0,65
Paraguay,Horqueta,20,20,0,20
Armenia,Hrazdan,31,31,0,30
China,Hsinchu,138,138,2,112
Peru,Huaura,39,19,1,39
Zimbabwe,Hwange,44,17,0,44
Japan,Ichihara,74,74,1,35
India,Idukki,51,23,0,51
Nigeria,Ikom,125,16,2,125
India,Khed,95,22,0,95
India,Khetri,500,40,0,376
Russian Federation,Khimki,40,30,8,40
India,Khopoli,108,23,0,108
Namibia,Khorixas,72,19,0,72
Ukraine,Khotyn,75,37,1,75
United Republic of Tanzania,Kibara,20,14,0,20
Turkey,Kilis,64,41,0,64
Ukraine,Kiliya,37,37,0,30
United States of America,Killeen,40,21,1,40
Russian Federation,Kinel Cherkassy,35,35,0,15
,Kingston Upon Hull,33,17,8,33
Austria,Klosterneuburg,59,30,3,59
Croatia,Knin,48,48,0,35
Papua New Guinea,Kokopo,104,22,0,104
Russian Federation,Kola,30,30,0,10
Czechia,Kolin,50,23,4,50
Poland,Kolo,32,32,1,29
Russian Federation,Komsomolsk Na Amure,42,32,0,42
Poland,Konskie,46,21,4,46
Pakistan,Kot Radha Kishan,230,130,9,230
Russian Federation,Kotelnikovo,39,39,0,20
India,Kottaiyur,72,28,2,72
Chad,Koumra,59,6,0,59
India,Koyilandi,69,26,0,69
Ukraine,Kozyatyn,78,38,0,78
Russian Federation,Krasnovishersk,29,28,0,29
Russian Federation,Krasnyy Yar,34,34,1,24
Germany,Kronach,36,26,2,36
Germany,Kronberg,30,30,1,27
Ukraine,Kryvyy Rih,52,36,1,52
India,Kudligi,74,24,0,74
Russian Federation,Kulebaki,48,33,1,48
India,Kushalnagar,54,21,0,54
Japan,Kushiro,33,33,0,9
Myanmar,Kyaiklat,61,21,0,61
Mexico,La Barca,37,8,3,37
France,La Crau,60,30,6,60
Honduras,La Entrada,55,5,4,55
United States of America,La Presa,58,14,19,58
Brazil,Ladario,17,17,0,12
Brazil,Lagoa Da Canoa,34,15,2,34
Germany,Ilsede,41,28,2,41
Brazil,Imbituba,31,15,1,31
Brazil,Imbituva,24,8,0,24
Japan,Inagi,78,78,3,51
Spain,Inca,43,43,0,30
India,Indergarh,390,54,1,335
India,Indore,150,30,0,150
Nigeria,Inisa,159,16,5,159
United Kingdom of Great Britain and Northern Ireland,Inverurie,31,31,2,25
Japan,Ishigaki,116,116,0,64
Côte d'Ivoire,Issia,84,10,1,84
Brazil,Itabera,16,16,0,16
Brazil,Itaiba,28,14,1,28
Ukraine,Izyaslav,59,31,0,59
Ukraine,Izyum,51,34,1,51
Spain,Jaen,36,17,3,36
India,Jagtial,139,31,0,139
India,Jahangirpur,500,49,1,493
India,Jamadoba,174,59,1,174
India,Jandiala,156,124,10,156
China,Jijiang,162,79,25,162
Mexico,Jilotepec,95,9,9,95
India,Jintur,130,31,0,130
China,Jinxi,93,51,2,93
Poland,Jozefow,43,30,3,43
Germany,Juchen,34,23,3,34
United Republic of Tanzania,Kabanga,171,10,3,171
China,Kaitong,95,79,0,95
Finland,Kajaani,32,32,0,24
India,Kakrala,500,95,2,478
India,Kalavai,59,32,0,59
